tube_id,slide_number_depth_index,positive_box,n_sections,no_negative_control,annotation,image_crosscheck,needs_confirmation
29,3,near_label,4,no,,match,
30,2,near_label,3,no,,match,
31,2,near_label,4,no,Done again,not yet checked,
32,2,far_label,4,no,,not yet checked,
33,2,near_label,3,no,1 positive,not yet checked,
34,1,near_label,3,no,2 positives use 02,not yet checked,
35,2,both,4,yes,4 positives,not yet checked,
36,2,far_label,4,no,,not yet checked,
37,2,far_label,4,no,"CONFIRMED 2026-08-07 by wet-lab note: R (far_label) is correct, positives are 03+04. The earlier note 'use 01' was a mis-write. Prefer section 03; section 04 has a small hole in the tissue - still usable, but the hole must come out of the area denominator (the tissue mask does this automatically). Visually confirmed from a QuPath thumbnail: 01 and 02 are blue (DAPI only = negative), 03 and 04 are colourful (= positive).",thumbnail (blue vs colourful),
38,1,both,4,yes,4 positives,not yet checked,
39,2,far_label,4,no,,not yet checked,
40,3,far_label,4,no,,not yet checked,
41,2,near_label,4,no,01 on DAPI artifact,match,
42,4,far_label,3,no,1 positive,match,
43,1,near_label,4,no,,not yet checked,
44,2,far_label,4,no,,not yet checked,
45,2,both,4,yes,,not yet checked,
46,1,near_label,4,no,,not yet checked,
47,2,near_label,4,no,,not yet checked,
48,1,near_label,4,no,,not yet checked,
49,2,far_label,4,no,CONFIRMED 2026-08-06 by wet-lab note: 01 and 04 are the positives and they ARE the same PAP-pen box = the RIGHT/far box. Deviation from the usual 01+02 / 03+04 pairing. The 'L' tick on sheet 1 was only to draw attention to 01 being the first positive; sheet 2 (R) is correct.,match,
50,6,far_label,4,no,,not yet checked,
51,2,far_label,4,no,REDO different exposure,match,
52,1,far_label,4,no,,not yet checked,
53,2,both,3,yes,3 positives,not yet checked,
54,1,near_label,3,no,1 positive,not yet checked,
55,2,near_label,4,no,,match,
56,1,near_label,4,no,,not yet checked,
57,1,near_label,4,no,,not yet checked,
58,2,far_label,4,no,,not yet checked,
60,2,far_label,4,no,Different exposure REDO,match,
